unidade_federativa,participacao_num_mun_uf,partipacao_total_pop_uf,year,participacao_percentual_pib_uf
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2002,58.323313722372745
Acre (22 municípios),22.727272727272727,69.21008917890775,2002,80.06775667211971
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2002,88.1189014089059
Roraima (15 municípios),33.33333333333333,79.49735951967855,2002,87.46615653615325
Pará (144 municípios),3.4722222222222223,29.618621238389768,2002,49.287934270614265
Amapá (16 municípios),31.25,83.96889791198385,2002,91.72348759344742
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2002,52.29185737945174
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2002,52.099004485447125
Piauí (224 municípios),2.232142857142857,35.977889709451865,2002,60.20697487470517
Ceará (184 municípios),2.717391304347826,40.97391634193225,2002,61.07998871559547
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2002,60.409557301609084
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2002,56.37921190648022
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2002,58.746758815453695
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2002,54.07107884191666
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2002,61.78149940963675
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2002,43.431614858889496
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2002,37.00671972276464
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2002,64.61365950058112
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2002,68.06402445765615
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2002,47.1484289229214
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2002,42.56757162225965
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2002,34.352168540182035
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2002,34.76569655220042
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2002,52.07422127308841
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2002,41.69436205172154
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2002,47.048093463996764
Distrito Federal (1 município),100.0,100.0,2002,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2003,56.10373249940713
Acre (22 municípios),22.727272727272727,69.21008917890775,2003,78.8542107287731
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2003,89.04753482764166
Roraima (15 municípios),33.33333333333333,79.49735951967855,2003,87.2360813114961
Pará (144 municípios),3.4722222222222223,29.618621238389768,2003,47.96057425891757
Amapá (16 municípios),31.25,83.96889791198385,2003,90.3356097526366
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2003,47.98833352774489
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2003,51.221274379734666
Piauí (224 municípios),2.232142857142857,35.977889709451865,2003,58.58455683283102
Ceará (184 municípios),2.717391304347826,40.97391634193225,2003,60.62320968740343
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2003,59.68770503704434
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2003,55.732818545613135
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2003,57.5764877183792
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2003,56.27866977788694
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2003,59.8626213443727
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2003,43.68621203932385
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2003,36.707376933530206
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2003,64.4181110852662
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2003,67.49973022612724
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2003,46.003327165159604
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2003,40.98802498892572
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2003,34.098716390134825
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2003,33.32001350028715
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2003,50.15138125744488
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2003,41.11992896331135
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2003,46.006647498525574
Distrito Federal (1 município),100.0,100.0,2003,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2004,57.23912481517674
Acre (22 municípios),22.727272727272727,69.21008917890775,2004,79.9604435787005
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2004,90.36947817156363
Roraima (15 municípios),33.33333333333333,79.49735951967855,2004,86.79772639314315
Pará (144 municípios),3.4722222222222223,29.618621238389768,2004,49.22015778575323
Amapá (16 municípios),31.25,83.96889791198385,2004,90.98074514051427
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2004,47.569297530751186
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2004,52.997065606055926
Piauí (224 municípios),2.232142857142857,35.977889709451865,2004,57.158401567872545
Ceará (184 municípios),2.717391304347826,40.97391634193225,2004,61.109488949653844
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2004,59.94981681908391
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2004,55.49243267313107
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2004,57.775493082662024
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2004,57.09788847417157
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2004,60.265689173960496
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2004,43.67989035030071
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2004,34.97770997268657
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2004,65.61485514049788
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2004,67.5343879958346
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2004,45.33806563924142
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2004,41.83090585806127
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2004,34.54007670231453
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2004,34.69223765020685
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2004,51.03434622795435
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2004,41.05298945985169
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2004,46.39167759793429
Distrito Federal (1 município),100.0,100.0,2004,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2005,57.36254441235721
Acre (22 municípios),22.727272727272727,69.21008917890775,2005,79.97924361012596
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2005,90.00003929180899
Roraima (15 municípios),33.33333333333333,79.49735951967855,2005,87.01447818480734
Pará (144 municípios),3.4722222222222223,29.618621238389768,2005,48.67296106456245
Amapá (16 municípios),31.25,83.96889791198385,2005,90.27748850557705
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2005,50.11140583393753
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2005,54.411804009807184
Piauí (224 municípios),2.232142857142857,35.977889709451865,2005,58.66132851353431
Ceará (184 municípios),2.717391304347826,40.97391634193225,2005,61.38928176683916
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2005,60.07457749722094
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2005,55.33013713413919
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2005,57.03296532877404
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2005,56.760394445814015
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2005,59.07675118127386
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2005,45.052805132876955
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2005,35.47781569769134
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2005,64.30023512009275
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2005,67.90903939648472
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2005,45.95613114748762
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2005,43.096502370553424
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2005,35.51845076138195
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2005,37.648790361350045
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2005,52.80796296187217
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2005,41.72575636967929
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2005,48.69103486205668
Distrito Federal (1 município),100.0,100.0,2005,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2006,57.86498651863423
Acre (22 municípios),22.727272727272727,69.21008917890775,2006,80.04737489375805
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2006,89.90964676802051
Roraima (15 municípios),33.33333333333333,79.49735951967855,2006,87.75544623749818
Pará (144 municípios),3.4722222222222223,29.618621238389768,2006,49.744595723079485
Amapá (16 municípios),31.25,83.96889791198385,2006,90.94440972552032
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2006,51.968420152294385
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2006,55.70509691340887
Piauí (224 municípios),2.232142857142857,35.977889709451865,2006,61.5554391881578
Ceará (184 municípios),2.717391304347826,40.97391634193225,2006,60.881817131725555
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2006,59.33759297019804
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2006,56.2186081068354
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2006,55.92476817081316
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2006,58.78611174214704
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2006,56.10714222331804
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2006,44.0611670317615
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2006,36.50008675303876
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2006,65.0425490524366
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2006,67.74993842092572
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2006,46.23327409316658
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2006,44.350990602648494
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2006,35.9879791910373
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2006,35.95208105047333
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2006,53.84304783197362
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2006,46.191131901684805
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2006,50.98287994932617
Distrito Federal (1 município),100.0,100.0,2006,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2007,57.958836316488046
Acre (22 municípios),22.727272727272727,69.21008917890775,2007,79.7139165919192
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2007,90.13803637395345
Roraima (15 municípios),33.33333333333333,79.49735951967855,2007,87.0370547346863
Pará (144 municípios),3.4722222222222223,29.618621238389768,2007,49.103697377643634
Amapá (16 municípios),31.25,83.96889791198385,2007,89.21582478296979
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2007,49.476973858495505
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2007,53.04315166719157
Piauí (224 municípios),2.232142857142857,35.977889709451865,2007,58.293368915925
Ceará (184 municípios),2.717391304347826,40.97391634193225,2007,61.90158823851692
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2007,60.03914683751898
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2007,57.20212566585934
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2007,56.30674494089446
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2007,59.72506507855871
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2007,57.1446653572231
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2007,44.29244572282567
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2007,37.42965047934463
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2007,64.56025975235335
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2007,67.4827144966956
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2007,46.372766129272236
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2007,44.38110262674907
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2007,36.19598816538594
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2007,36.24203210349681
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2007,53.54547510659351
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2007,44.38011006123968
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2007,50.614151382773485
Distrito Federal (1 município),100.0,100.0,2007,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2008,57.30594290358117
Acre (22 municípios),22.727272727272727,69.21008917890775,2008,79.88661198696994
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2008,90.15204516806045
Roraima (15 municípios),33.33333333333333,79.49735951967855,2008,86.92841281330682
Pará (144 municípios),3.4722222222222223,29.618621238389768,2008,51.42567538585681
Amapá (16 municípios),31.25,83.96889791198385,2008,89.65121296905123
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2008,49.0647759161336
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2008,51.52725846875045
Piauí (224 municípios),2.232142857142857,35.977889709451865,2008,56.78926965163372
Ceará (184 municípios),2.717391304347826,40.97391634193225,2008,60.81090850636579
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2008,60.29831064853085
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2008,57.415831004135015
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2008,55.35069244639367
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2008,58.55805079816063
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2008,55.14448438191809
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2008,43.31457726530103
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2008,37.09240085509741
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2008,63.005525560789614
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2008,65.61133729723204
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2008,46.25775045246038
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2008,44.21663543891015
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2008,36.13071437994354
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2008,35.06093487212349
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2008,52.690202387597736
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2008,42.60103320795958
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2008,50.79217335433734
Distrito Federal (1 município),100.0,100.0,2008,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2009,60.055025537310655
Acre (22 municípios),22.727272727272727,69.21008917890775,2009,80.39530744245535
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2009,89.63468637243346
Roraima (15 municípios),33.33333333333333,79.49735951967855,2009,87.61153572692913
Pará (144 municípios),3.4722222222222223,29.618621238389768,2009,50.7588778466757
Amapá (16 municípios),31.25,83.96889791198385,2009,90.00127986423168
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2009,49.06037516179081
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2009,50.72142526339425
Piauí (224 municípios),2.232142857142857,35.977889709451865,2009,57.818617666674896
Ceará (184 municípios),2.717391304347826,40.97391634193225,2009,62.222907791188035
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2009,62.40551688875343
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2009,57.446665492606236
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2009,56.0360328978105
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2009,59.712014821219476
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2009,55.14088320101135
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2009,45.90477898303498
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2009,39.403281043377554
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2009,63.03198041013664
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2009,67.1236669664007
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2009,46.501365909250595
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2009,44.951788337874454
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2009,35.329645018652386
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2009,36.15658261214553
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2009,54.11408949570209
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2009,43.7275766392955
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2009,51.75120716029769
Distrito Federal (1 município),100.0,100.0,2009,100.0
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2010,62.52145061587166
Acre (22 municípios),22.727272727272727,69.21008917890775,2010,78.99331282783663
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2010,89.10248363255751
Roraima (15 municípios),33.33333333333333,79.49735951967855,2010,87.68191002638433
Pará (144 municípios),3.4722222222222223,29.618621238389768,2010,53.1072232497855
Amapá (16 municípios),31.25,83.96889791198385,2010,88.99813113158586
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2010,51.43726574105068
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2010,53.171688087472525
Piauí (224 municípios),2.232142857142857,35.977889709451865,2010,59.52478060775024
Ceará (184 municípios),2.717391304347826,40.97391634193225,2010,61.82459671577026
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2010,62.4275405784304
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2010,58.10167169241459
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2010,55.832197639985836
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2010,61.86861715303149
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2010,57.82771142813655
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2010,44.91964408131818
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2010,37.19310929149461
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2010,60.72783400501121
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2010,65.83118901370855
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2010,47.14741861184009
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2010,46.061366827003944
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2010,35.7870661426966
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2010,35.18377398303973
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2010,55.2279984489427
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2010,44.79011157740575
Goiás (246 municípios),2.0325203252032518,40.2613632769165,2010,51.86506642087989
